#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
89.3937392,-16.7250358,28.1037631,5.5465338,0.0050773,8.0,0.0,-0.7361262875350482,0.6
89.5937251,-16.576832,27.9694888,5.547601,0.0055951,8.0,0.0,-0.7350075637284197,0.6
89.7937111,-16.4284771,27.8353795,5.5487717,0.0061127,8.0,0.0,-0.7337850564786783,0.6
89.9936971,-16.2799584,27.7014517,5.5500459,0.0066301,8.0,0.0,-0.7324595204963096,0.6
90.1936831,-16.1312631,27.5677216,5.5514235,0.007147,8.0,0.0,-0.731029633041738,0.6
90.3936691,-15.982375,27.4342027,5.5529045,0.0076638,8.0,0.0,-0.7294972553202447,0.6
90.5936551,-15.8332847,27.3009141,5.5544888,0.0081801,8.0,0.0,-0.7278612419983121,0.6
90.7936411,-15.6839752,27.1678684,5.5561763,0.0086962,8.0,0.0,-0.7261222745800485,0.6
90.9936271,-15.5344344,27.0350824,5.557967,0.0092123,8.0,0.0,-0.7242801789667255,0.6
91.1936131,-15.3846505,26.9025732,5.5598609,0.0097284,8.0,0.0,-0.7223341673421356,0.6
91.3935991,-15.2346066,26.7703536,5.5618581,0.0102445,8.0,0.0,-0.7202856483396574,0.6
91.5935851,-15.0842953,26.6384444,5.5639582,0.0107583,8.0,0.0,-0.7181341480317781,0.6
91.7935711,-14.9336986,26.5068572,5.5661611,0.0112717,8.0,0.0,-0.715879788793717,0.6
91.9935571,-14.7828056,26.3756098,5.5684667,0.0117882,8.0,0.0,-0.713522628327861,0.6
92.1935431,-14.6316051,26.2447197,5.5708763,0.0123096,8.0,0.0,-0.7110608094397456,0.6
92.3935291,-14.4800799,26.1141997,5.5733902,0.012831,8.0,0.0,-0.7084952902142239,0.6
92.593515,-14.3282233,25.9840714,5.5760059,0.0133247,8.0,0.0,-0.705830767956752,0.6
92.793501,-14.176019,25.8543469,5.5787197,0.0138153,8.0,0.0,-0.7030656499667373,0.6
92.993487,-14.0234571,25.7250442,5.5815476,0.0147133,8.0,0.0,-0.7001155171196128,0.6
