# x, y, psi, w_tr_right, w_tr_left
10.433,2.762,0.209,1.083,1.083
10.665,2.820,0.380,1.069,1.069
10.896,2.936,0.380,1.083,1.083
11.128,2.994,0.209,1.083,1.083
11.360,3.052,0.255,1.083,1.083
11.592,3.110,0.243,1.083,1.083
11.824,3.168,0.246,1.100,1.100
12.056,3.226,0.245,1.100,1.100
12.287,3.284,0.245,1.100,1.100
12.519,3.342,0.245,1.100,1.100
12.751,3.400,0.245,1.100,1.100
12.983,3.458,0.245,1.100,1.100
13.215,3.515,0.246,1.083,1.083
13.447,3.574,0.242,1.083,1.083
13.678,3.631,0.255,1.083,1.083
13.910,3.689,0.210,1.083,1.083
14.142,3.747,0.380,1.069,1.069
14.374,3.863,0.379,1.083,1.083
14.606,3.921,0.209,1.083,1.083
14.838,3.979,0.256,1.083,1.083
15.069,4.037,0.240,1.100,1.100
15.301,4.095,0.256,1.100,1.100
15.533,4.153,0.207,1.100,1.100
15.765,4.211,0.386,1.083,1.083
15.997,4.327,0.354,1.089,1.089
16.229,4.385,0.302,1.089,1.089
16.460,4.501,0.541,1.089,1.089
16.692,4.617,0.310,1.089,1.089
16.924,4.675,0.323,1.089,1.089
17.156,4.791,0.501,1.089,1.089
17.388,4.907,0.454,1.089,1.089
17.620,5.022,0.467,1.089,1.089
17.852,5.138,0.461,1.089,1.089
18.083,5.254,0.471,1.089,1.089
18.315,5.370,0.435,1.089,1.089
18.547,5.486,0.573,1.089,1.089
18.779,5.660,0.573,1.089,1.089
19.011,5.776,0.435,1.089,1.089
19.243,5.892,0.469,1.089,1.089
19.474,6.008,0.469,1.113,1.113
19.706,6.124,0.436,1.089,1.089
19.938,6.240,0.571,1.089,1.089
20.170,6.413,0.582,1.094,1.094
20.402,6.529,0.404,1.094,1.094
20.634,6.645,0.587,1.078,1.078
20.865,6.819,0.550,1.094,1.094
21.097,6.935,0.511,1.078,1.078
21.329,7.109,0.708,1.094,1.094
21.561,7.283,0.516,1.094,1.094
21.793,7.399,0.528,1.078,1.078
22.025,7.573,0.673,1.094,1.094
22.256,7.747,0.640,1.094,1.094
22.488,7.920,0.629,1.107,1.107
22.720,8.094,0.707,1.107,1.107
22.952,8.326,0.816,1.107,1.107
23.184,8.558,0.741,1.107,1.107
23.416,8.790,0.934,1.107,1.107
23.532,9.022,1.258,1.078,1.078
23.590,9.254,1.339,1.012,1.012
23.648,9.485,1.341,0.972,0.972
23.706,9.717,1.254,0.987,0.987
23.763,9.949,1.617,1.043,1.043
23.706,10.181,1.711,0.985,0.985
23.706,10.413,1.683,1.012,1.012
23.648,10.645,1.705,1.012,1.012
23.648,10.876,1.646,1.083,1.083
23.590,11.108,1.858,1.083,1.083
23.532,11.340,1.814,1.100,1.100
23.474,11.572,1.783,1.100,1.100
23.416,11.804,1.949,1.083,1.083
23.300,12.036,1.951,1.083,1.083
23.242,12.268,1.778,1.083,1.083
23.184,12.499,1.835,1.100,1.100
23.126,12.731,1.778,1.100,1.100
23.068,12.963,1.951,1.083,1.083
22.952,13.195,1.950,1.069,1.069
22.894,13.427,1.780,1.083,1.083
22.836,13.659,1.826,1.083,1.083
22.778,13.890,1.811,1.100,1.100
22.720,14.122,1.826,1.100,1.100
22.662,14.354,1.780,1.100,1.100
22.604,14.586,1.951,1.083,1.083
22.488,14.818,1.950,1.083,1.083
22.430,15.050,1.781,1.083,1.083
22.372,15.281,1.823,1.100,1.100
22.314,15.513,1.823,1.100,1.100
22.256,15.745,1.781,1.100,1.100
22.198,15.977,1.950,1.083,1.083
22.083,16.209,1.951,1.069,1.069
22.025,16.441,1.778,1.083,1.083
21.967,16.672,1.835,1.100,1.100
21.909,16.904,1.778,1.100,1.100
21.851,17.136,1.951,1.100,1.100
21.735,17.368,1.951,1.069,1.069
21.677,17.600,1.778,1.083,1.083
21.619,17.832,1.835,1.100,1.100
21.561,18.064,1.778,1.100,1.100
21.503,18.295,1.951,1.083,1.083
21.387,18.527,1.951,1.083,1.083
21.329,18.759,1.778,1.100,1.100
21.271,18.991,1.835,1.100,1.100
21.213,19.223,1.778,1.083,1.083
21.155,19.454,1.951,1.083,1.083
21.039,19.686,1.950,1.083,1.083
20.981,19.918,1.780,1.083,1.083
20.923,20.150,1.826,1.100,1.100
20.865,20.382,1.811,1.100,1.100
20.808,20.614,1.826,1.100,1.100
20.750,20.846,1.781,1.100,1.100
20.692,21.077,1.948,1.100,1.100
20.576,21.309,1.961,1.066,1.066
20.518,21.541,1.743,1.083,1.083
20.460,21.773,1.968,1.100,1.100
20.344,22.005,1.919,1.066,1.066
20.286,22.237,1.882,1.100,1.100
20.170,22.468,2.082,1.089,1.089
20.054,22.700,1.993,1.089,1.089
19.938,22.932,2.151,1.094,1.094
19.764,23.164,2.125,1.078,1.078
19.648,23.396,2.070,1.078,1.078
19.474,23.628,2.323,1.078,1.078
19.243,23.860,2.339,1.107,1.107
19.011,24.091,2.460,1.107,1.107
18.779,24.265,2.405,1.094,1.094
18.547,24.497,2.512,1.078,1.078
18.315,24.613,2.722,1.094,1.094
18.083,24.729,2.663,1.078,1.078
17.852,24.845,2.693,1.064,1.064
17.620,24.961,2.634,1.066,1.066
17.388,25.077,2.841,1.089,1.089
17.156,25.135,2.750,1.066,1.066
16.924,25.250,2.917,1.100,1.100
16.692,25.250,3.100,1.045,1.045
16.460,25.308,2.803,1.045,1.045
16.229,25.366,3.076,1.050,1.050
15.997,25.366,3.020,1.027,1.027
15.765,25.424,2.969,1.045,1.045
15.533,25.424,3.224,1.043,1.043
15.301,25.424,2.976,1.043,1.043
15.069,25.482,2.991,1.101,1.101
14.838,25.482,3.181,1.101,1.101
14.606,25.482,3.131,1.101,1.101
14.374,25.482,3.144,1.101,1.101
14.142,25.482,3.142,1.101,1.101
13.910,25.482,3.139,1.101,1.101
13.678,25.482,3.152,1.101,1.101
13.447,25.482,3.101,1.101,1.101
13.215,25.482,3.295,1.101,1.101
12.983,25.424,3.295,1.101,1.101
12.751,25.424,3.101,1.101,1.101
12.519,25.424,3.153,1.101,1.101
12.287,25.424,3.139,1.101,1.101
12.056,25.424,3.142,1.101,1.101
11.824,25.424,3.141,1.101,1.101
11.592,25.424,3.142,1.101,1.101
11.360,25.424,3.139,1.101,1.101
11.128,25.424,3.153,1.101,1.101
10.896,25.424,3.101,1.101,1.101
10.665,25.424,3.295,1.101,1.101
10.433,25.366,3.295,1.101,1.101
10.201,25.366,3.101,1.101,1.101
9.969,25.366,3.153,1.101,1.101
9.737,25.366,3.139,1.101,1.101
9.505,25.366,3.142,1.101,1.101
9.273,25.366,3.141,1.101,1.101
9.042,25.366,3.141,1.101,1.101
8.810,25.366,3.142,1.101,1.101
8.578,25.366,3.139,1.101,1.101
8.346,25.366,3.153,1.101,1.101
8.114,25.366,3.101,1.101,1.101
7.882,25.366,3.295,1.101,1.101
7.651,25.308,3.295,1.101,1.101
7.419,25.308,3.101,1.101,1.101
7.187,25.308,3.153,1.101,1.101
6.955,25.308,3.139,1.101,1.101
6.723,25.308,3.142,1.101,1.101
6.491,25.308,3.142,1.101,1.101
6.260,25.308,3.139,1.101,1.101
6.028,25.308,3.153,1.101,1.101
5.796,25.308,3.101,1.101,1.101
5.564,25.308,3.295,1.101,1.101
5.332,25.250,3.295,1.101,1.101
5.100,25.250,3.101,1.101,1.101
4.869,25.250,3.153,1.101,1.101
4.637,25.250,3.139,1.101,1.101
4.405,25.250,3.142,1.101,1.101
4.173,25.250,3.141,1.101,1.101
3.941,25.250,3.142,1.101,1.101
3.709,25.250,3.139,1.101,1.101
3.477,25.250,3.153,1.101,1.101
3.246,25.250,3.101,1.101,1.101
3.014,25.250,3.295,1.101,1.101
2.782,25.193,3.295,1.101,1.101
2.550,25.193,3.101,1.101,1.101
2.318,25.193,3.152,1.101,1.101
2.086,25.193,3.139,1.101,1.101
1.855,25.193,3.142,1.101,1.101
1.623,25.193,3.142,1.101,1.101
1.391,25.193,3.139,1.101,1.101
1.159,25.193,3.153,1.101,1.101
0.927,25.193,3.101,1.101,1.101
0.695,25.193,3.295,1.101,1.101
0.464,25.135,3.295,1.101,1.101
0.232,25.135,3.101,1.101,1.101
-0.000,25.135,3.153,1.101,1.101
-0.232,25.135,3.139,1.101,1.101
-0.464,25.135,3.142,1.101,1.101
-0.696,25.135,3.142,1.101,1.101
-0.927,25.135,3.139,1.101,1.101
-1.159,25.135,3.153,1.101,1.101
-1.391,25.135,3.101,1.101,1.101
-1.623,25.135,3.295,1.101,1.101
-1.855,25.077,3.295,1.101,1.101
-2.087,25.077,3.101,1.101,1.101
-2.319,25.077,3.153,1.101,1.101
-2.550,25.077,3.139,1.101,1.101
-2.782,25.077,3.142,1.101,1.101
-3.014,25.077,3.141,1.101,1.101
-3.246,25.077,3.142,1.101,1.101
-3.478,25.077,3.139,1.101,1.101
-3.710,25.077,3.153,1.101,1.101
-3.941,25.077,3.101,1.101,1.101
-4.173,25.077,3.295,1.101,1.101
-4.405,25.019,3.295,1.101,1.101
-4.637,25.019,3.101,1.101,1.101
-4.869,25.019,3.153,1.101,1.101
-5.101,25.019,3.139,1.101,1.101
-5.332,25.019,3.142,1.101,1.101
-5.564,25.019,3.141,1.101,1.101
-5.796,25.019,3.142,1.101,1.101
-6.028,25.019,3.142,1.101,1.101
-6.260,25.019,3.142,1.101,1.101
-6.492,25.019,3.142,1.101,1.101
-6.723,25.019,3.141,1.101,1.101
-6.955,25.019,3.142,1.101,1.101
-7.187,25.019,3.139,1.101,1.101
-7.419,25.019,3.153,1.101,1.101
-7.651,25.019,3.101,1.101,1.101
-7.883,25.019,3.296,1.101,1.101
-8.115,24.961,3.295,1.101,1.101
-8.346,24.961,3.104,1.101,1.101
-8.578,24.961,3.142,1.101,1.101
-8.810,24.961,3.179,1.101,1.101
-9.042,24.961,2.989,1.101,1.101
-9.274,25.019,2.988,1.101,1.101
-9.506,25.019,3.182,1.101,1.101
-9.737,25.019,3.131,1.101,1.101
-9.969,25.019,3.145,1.101,1.101
-10.201,25.019,3.141,1.101,1.101
-10.433,25.019,3.142,1.101,1.101
-10.665,25.019,3.142,1.101,1.101
-10.897,25.019,3.142,1.101,1.101
-11.129,25.019,3.142,1.101,1.101
-11.360,25.019,3.142,1.101,1.101
-11.592,25.019,3.142,1.101,1.101
-11.824,25.019,3.142,1.101,1.101
-12.056,25.019,3.142,1.101,1.101
-12.288,25.019,3.142,1.101,1.101
-12.520,25.019,3.142,1.101,1.101
-12.751,25.019,3.142,1.101,1.101
-12.983,25.019,3.142,1.101,1.101
-13.215,25.019,3.142,1.101,1.101
-13.447,25.019,3.142,1.101,1.101
-13.679,25.019,3.141,1.101,1.101
-13.911,25.019,3.142,1.101,1.101
-14.142,25.019,3.139,1.101,1.101
-14.374,25.019,3.153,1.101,1.101
-14.606,25.019,3.101,1.101,1.101
-14.838,25.019,3.295,1.101,1.101
-15.070,24.961,3.295,1.050,1.050
-15.302,24.961,3.102,1.100,1.100
-15.533,24.961,3.150,1.101,1.101
-15.765,24.961,3.150,1.101,1.101
-15.997,24.961,3.102,1.101,1.101
-16.229,24.961,3.295,1.101,1.101
-16.461,24.903,3.296,1.058,1.058
-16.693,24.903,3.098,1.101,1.101
-16.924,24.903,3.163,1.101,1.101
-17.156,24.903,3.098,1.101,1.101
-17.388,24.903,3.296,1.101,1.101
-17.620,24.845,3.296,1.050,1.050
-17.852,24.845,3.098,1.100,1.100
-18.084,24.845,3.164,1.101,1.101
-18.316,24.845,3.098,1.101,1.101
-18.547,24.845,3.297,1.101,1.101
-18.779,24.787,3.292,1.050,1.050
-19.011,24.787,3.112,1.100,1.100
-19.243,24.787,3.112,1.101,1.101
-19.475,24.787,3.292,1.101,1.101
-19.707,24.729,3.297,1.045,1.045
-19.938,24.729,3.098,1.083,1.083
-20.170,24.729,3.164,1.101,1.101
-20.402,24.729,3.095,1.101,1.101
-20.634,24.729,3.308,1.101,1.101
-20.866,24.671,3.250,1.101,1.101
-21.098,24.671,3.265,1.101,1.101
-21.329,24.613,3.261,1.069,1.069
-21.561,24.613,3.262,1.101,1.101
-21.793,24.555,3.263,1.058,1.058
-22.025,24.555,3.259,1.101,1.101
-22.257,24.497,3.275,1.058,1.058
-22.489,24.497,3.217,1.103,1.103
-22.721,24.439,3.430,1.083,1.083
-22.952,24.381,3.378,1.069,1.069
-23.184,24.323,3.378,1.058,1.058
-23.416,24.265,3.428,1.050,1.050
-23.648,24.207,3.227,1.045,1.045
-23.880,24.207,3.239,1.100,1.100
-24.111,24.149,3.390,1.100,1.100
-24.343,24.091,3.520,1.100,1.100
-24.575,23.975,3.484,1.069,1.069
-24.807,23.917,3.493,1.083,1.083
-25.039,23.802,3.491,1.064,1.064
-25.271,23.744,3.489,1.083,1.083
-25.503,23.628,3.502,1.064,1.064
-25.734,23.570,3.452,1.100,1.100
-25.966,23.454,3.644,1.089,1.089
-26.198,23.338,3.603,1.089,1.089
-26.430,23.222,3.578,1.089,1.089
-26.662,23.106,3.719,1.094,1.094
-26.894,22.932,3.694,1.078,1.078
-27.125,22.816,3.651,1.113,1.113
-27.357,22.642,3.849,1.094,1.094
-27.589,22.468,3.658,1.078,1.078
-27.821,22.352,3.667,1.094,1.094
-28.053,22.179,3.822,1.094,1.094
-28.285,22.005,3.754,1.094,1.094
-28.517,21.831,3.873,1.094,1.094
-28.748,21.599,3.871,1.078,1.078
-28.980,21.425,3.761,1.078,1.078
-29.212,21.251,3.796,1.094,1.094
-29.444,21.077,3.766,1.107,1.107
-29.676,20.904,3.851,1.107,1.107
-29.907,20.672,3.952,1.107,1.107
-30.139,20.440,3.902,1.107,1.107
-30.371,20.208,4.004,1.094,1.094
-30.545,19.976,4.086,1.107,1.107
-30.719,19.744,4.064,1.094,1.094
-30.893,19.512,4.070,1.094,1.094
-31.067,19.281,4.069,1.094,1.094
-31.241,19.049,4.069,1.107,1.107
-31.415,18.817,4.069,1.094,1.094
-31.588,18.585,4.069,1.094,1.094
-31.762,18.353,4.070,1.078,1.078
-31.936,18.121,4.064,1.078,1.078
-32.110,17.890,4.086,1.094,1.094
-32.284,17.658,4.004,1.107,1.107
-32.516,17.426,3.901,1.107,1.107
-32.748,17.194,3.954,1.107,1.107
-32.979,16.962,3.843,1.094,1.094
-33.211,16.788,3.792,1.094,1.094
-33.443,16.614,3.697,1.078,1.078
-33.675,16.499,3.571,1.094,1.094
-33.907,16.383,3.652,1.089,1.089
-34.139,16.267,3.452,1.089,1.089
-34.370,16.209,3.493,1.083,1.083
-34.602,16.093,3.526,1.100,1.100
-34.834,16.035,3.358,1.083,1.083
-35.066,15.977,3.364,1.069,1.069
-35.298,15.919,3.507,1.066,1.066
-35.530,15.803,3.566,1.100,1.100
-35.761,15.745,3.186,1.083,1.083
-35.993,15.745,3.270,1.069,1.069
-36.225,15.687,3.312,1.101,1.101
-36.457,15.687,3.063,1.058,1.058
-36.689,15.687,3.295,1.043,1.043
-36.921,15.629,3.335,1.101,1.101
-37.153,15.629,2.937,1.101,1.101
